id,PC1,PC2,PC3,mpa,lfm,ww.flam.sample,dw.flam.sample,site,sample.wt,spp,tti,fh,fd,gd,gti,pfg,temp.max,year.month,prop.ignite.bins10_nodate,prop.ignite.bins5_nodate,ttfg,gr
"2016_December_EPI_ADFA_(70,80]_5",-1.2407054172152374,0.03617643306710763,1.2492770447948172,-4.7,78.26086957,0.2072195121951219,0.26478048780487806,St. Marys,0.472,ADFA,46,6,2,126,21,103,328,2016_December,89,97,25,"(70,80]"
"2016_December_EPI_ADFA_(70,80]_5",-0.31136463501992695,2.251070187336058,0.6223102185708138,-5.1,76.75675676,0.20583486238532103,0.2681651376146789,St. Marys,0.474,ADFA,38,1,1,89,24,64,305.4,2016_December,89,97,14,"(70,80]"
"2016_December_EPI_ADFA_(70,80]_6",-1.7038218921212196,-0.15771930655809052,2.9615251855569187,-0.2,78.51162791,0.20671182907764463,0.26328817092235535,St. Marys,0.47,ADFA,55,6,3,122,16,103,307.1,2016_December,89,97,39,"(70,80]"
"2016_December_EPI_ADFA_(70,80]_6",0.4974395722547419,0.6735820263432335,0.7049518056487881,-1.3,74.22053232,0.2138594500218245,0.2881405499781755,St. Marys,0.502,ADFA,37,11,3,101,18,80,316,2016_December,89,78,19,"(70,80]"
"2016_December_EPI_ADFA_(70,80]_6",1.324882989384996,1.3871252791113131,1.020550863558044,-1.6,77.69284225,0.2159921783339851,0.2780078216660149,St. Marys,0.494,ADFA,39,7,10,73,22,41,331.9,2016_December,89,97,17,"(70,80]"
"2016_December_EPI_ADFA_(70,80]_6",-0.8771692899037331,1.3454874128942933,-0.11843071525165788,-2.4,71.22093023,0.20922750424448225,0.2937724957555178,St. Marys,0.503,ADFA,44,6,4,115,30,81,277.6,2016_December,89,78,14,"(70,80]"
"2016_December_EPI_ADFA_(70,80]_6",1.0834893884636023,0.6171207554270811,0.346894460480203,-4.9,76.2962963,0.20902941176470585,0.27397058823529413,St. Marys,0.483,ADFA,32,9,8,97,17,72,301.7,2016_December,89,97,15,"(70,80]"
"2016_December_EPI_ADFA_(80,90]_1",1.8180896180047612,1.3874640549847848,-0.965937499231047,-0.9,88.88888889,0.24423529411764705,0.27476470588235297,St. Marys,0.519,ADFA,28,16,4,89,22,63,292.6,2016_December,89,92,6,"(80,90]"
"2016_December_EPI_ADFA_(80,90]_2",0.7529162972716293,0.5268198123325215,-0.15696694262289734,-5.6,85.82375479,0.24293608247422677,0.28306391752577326,St. Marys,0.526,ADFA,31,8,8,107,19,80,291.9,2016_December,89,92,12,"(80,90]"
"2016_December_EPI_ADFA_(80,90]_3",1.5792390299331591,0.63654863043082,0.6599893842723773,-3.8,88.46641318,0.23751714862138537,0.26848285137861466,St. Marys,0.506,ADFA,30,11,5,87,14,68,339.8,2016_December,89,92,16,"(80,90]"
"2016_December_EPI_ADFA_(80,90]_3",-0.6983823893933842,-0.1287677328822081,-0.35397647389051634,-3.9,87.93686584,0.23956808638272345,0.2724319136172766,St. Marys,0.512,ADFA,39,7,7,135,25,103,295.4,2016_December,89,92,14,"(80,90]"
"2016_December_EPI_ADFA_(80,90]_3",3.468582341203282,0.02673533223997626,-0.31004990209319483,-6.2,85.00590319,0.2279004467134652,0.2680995532865348,St. Marys,0.496,ADFA,13,12,10,79,7,62,361.4,2016_December,89,92,6,"(80,90]"
"2016_December_EPI_ADFA_(80,90]_5",-1.0608817820246506,1.9495280725235409,-0.39153698385198465,-0.4,88.04733728,0.23317306482064193,0.26482693517935807,St. Marys,0.498,ADFA,50,6,3,107,39,65,308.8,2016_December,89,92,11,"(80,90]"
